Outcome,Model,DID_Coef,P_Value,IRR,Percent_Change
Video Count,OLS,-0.310**,0.012,,
Video Count,Poisson,-0.879***,0.003,0.415,-58.48%
Video Count,Negative Binomial,-0.668,,0.513,-48.73%
Likes,OLS,-0.708*,0.071,,
Likes,Poisson,0.165,0.601,1.180,+17.98%
Likes,Negative Binomial,-0.991***,0.0002,0.371,-62.87%
Comments,OLS,-0.538*,0.074,,
Comments,Poisson,0.301,0.404,1.352,+35.19%
Comments,Negative Binomial,-1.011***,0.0002,0.364,-63.63%
Views,OLS,-1.752***,0.0016,,
Views,Poisson,0.129,0.666,1.138,+13.78%
Views,Negative Binomial,-1.022,,0.360,-64.01%
