Event_Time,Coefficient,Std_Error,CI_Lower,CI_Upper,Significance
-11,-0.864,1.018,-2.859,1.132,
-10,-1.292,1.100,-3.447,0.864,
-9,-0.162,1.002,-2.126,1.802,
-8,-0.152,0.990,-2.093,1.789,
-7,0.525,0.986,-1.407,2.456,
-6,0.081,1.048,-1.974,2.136,
-5,0.475,0.752,-1.000,1.949,
-4,0.721,0.844,-0.932,2.375,
-3,0.951,0.897,-0.806,2.709,
-2,-0.367,0.759,-1.854,1.120,
-1,0.000,ref,,,
0,-1.763,0.896,-3.519,-0.007,**
1,-0.236,0.903,-2.007,1.534,
2,-2.442,0.992,-4.386,-0.497,**
3,-1.045,0.865,-2.740,0.650,
4,-2.452,0.792,-4.004,-0.900,***
5,-1.952,0.744,-3.410,-0.493,**
6,-0.961,0.804,-2.538,0.615,
7,-1.427,0.727,-2.852,-0.002,**
8,-1.462,0.915,-3.255,0.331,
9,-2.286,0.825,-3.904,-0.669,**
10,-3.383,1.019,-5.380,-1.386,***
11,-1.736,0.859,-3.419,-0.052,**
12,-1.735,0.769,-3.242,-0.228,**
